vendor,invoice_number,invoice_date,due_date,net_amount,vat_amount,gross_amount,currency,po_number,iban,payment_terms,synthetic_is_anomaly,synthetic_anomaly_types
Nordic Office Oy,NOR-1001,2026-01-05,2026-02-04,1858.22,445.97,2304.2,EUR,PO-9719,FI2112345600000785,30 days,False,normal
TechParts AG,TEC-1001,2026-01-06,2026-02-05,7681.37,1459.46,9140.83,EUR,PO-8837,DE12500105170648489890,30 days,False,normal
Green Supplies BV,GRE-1001,2026-01-06,2026-02-05,2533.0,531.93,3064.93,EUR,PO-8827,NL91ABNA0417164300,30 days,False,normal
MediaHaus GmbH,MED-1001,2026-01-07,2026-02-06,2101.56,399.3,2500.86,EUR,PO-4260,DE75512108001245126199,30 days,False,normal
DataNova Inc,DAT-1001,2026-01-08,2026-02-07,6414.32,0.0,6414.32,USD,PO-4053,US-DEMO-889922,30 days,False,normal
Logistik Süd GmbH,LOG-1001,2026-01-08,2026-02-07,5176.13,983.46,6159.59,EUR,PO-6817,DE44500105175407324931,30 days,False,normal
CloudWorks Ltd,CLO-1001,2026-01-09,2026-02-08,3795.46,759.09,4554.55,GBP,PO-5905,GB29NWBK60161331926819,30 days,False,normal
ABC GmbH,ABC-1001,2026-01-15,2026-02-14,974.24,185.11,1159.35,EUR,PO-4767,DE89370400440532013000,30 days,False,normal
Logistik Süd GmbH,LOG-1002,2026-01-20,2026-02-19,4157.58,789.94,4947.52,EUR,PO-8729,DE44500105175407324931,30 days,False,normal
Green Supplies BV,GRE-1002,2026-01-21,2026-02-20,2337.41,490.86,2828.27,EUR,PO-8392,NL91ABNA0417164300,30 days,False,normal
TechParts AG,TEC-1002,2026-01-21,2026-02-20,8122.35,1543.25,9665.6,EUR,PO-4759,DE12500105170648489890,30 days,False,normal
Nordic Office Oy,NOR-1002,2026-01-23,2026-02-22,2442.85,586.29,3029.14,EUR,PO-8375,FI2112345600000785,30 days,False,normal
TechParts AG,TEC-1003,2026-02-01,2026-03-03,6118.6,1162.53,7281.14,EUR,PO-7100,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1003,2026-02-02,2026-03-04,4153.74,789.21,4942.95,EUR,PO-5332,DE44500105175407324931,30 days,False,normal
DataNova Inc,DAT-1002,2026-02-02,2026-03-04,5228.32,0.0,5228.32,USD,PO-5273,US-DEMO-889922,30 days,False,normal
MediaHaus GmbH,MED-1002,2026-02-08,2026-03-10,1421.17,270.02,1691.19,EUR,PO-5805,DE75512108001245126199,30 days,False,normal
ABC GmbH,ABC-1002,2026-02-12,2026-03-14,1059.68,201.34,1261.02,EUR,PO-8597,DE89370400440532013000,30 days,False,normal
Nordic Office Oy,NOR-1003,2026-02-12,2026-03-14,2181.98,523.68,2705.66,EUR,PO-9140,FI2112345600000785,30 days,False,normal
Green Supplies BV,GRE-1003,2026-02-13,2026-03-15,3156.8,662.93,3819.72,EUR,PO-7108,NL91ABNA0417164300,30 days,False,normal
Logistik Süd GmbH,LOG-1004,2026-02-14,2026-03-16,4761.43,904.67,5666.11,EUR,PO-6910,DE44500105175407324931,30 days,False,normal
TechParts AG,TEC-1004,2026-02-15,2026-03-17,7968.91,1514.09,9483.0,EUR,PO-8522,DE12500105170648489890,30 days,False,normal
CloudWorks Ltd,CLO-1002,2026-02-15,2026-03-17,3320.69,664.14,3984.83,GBP,PO-9865,GB29NWBK60161331926819,30 days,False,normal
TechParts AG,TEC-1005,2026-02-26,2026-03-28,8707.01,1654.33,10361.34,EUR,PO-4375,DE12500105170648489890,30 days,False,normal
Logistik Süd GmbH,LOG-1005,2026-02-28,2026-03-30,4158.57,790.13,4948.7,EUR,PO-4458,DE44500105175407324931,30 days,False,normal
DataNova Inc,DAT-1003,2026-03-04,2026-04-03,5478.64,0.0,5478.64,USD,PO-4355,US-DEMO-889922,30 days,False,normal
Nordic Office Oy,NOR-1004,2026-03-05,2026-04-04,2193.58,526.46,2720.04,EUR,PO-9574,FI2112345600000785,30 days,False,normal
Green Supplies BV,GRE-1004,2026-03-07,2026-04-06,2852.44,599.01,3451.45,EUR,PO-7241,NL91ABNA0417164300,30 days,False,normal
TechParts AG,TEC-1006,2026-03-11,2026-04-10,7469.6,1419.22,8888.82,EUR,PO-5907,DE12500105170648489890,30 days,False,normal
ABC GmbH,ABC-1003,2026-03-11,2026-04-10,1019.2,193.65,1212.85,EUR,PO-4898,DE89370400440532013000,30 days,False,normal
MediaHaus GmbH,MED-1003,2026-03-11,2026-04-10,1755.3,333.51,2088.8,EUR,PO-6787,DE75512108001245126199,30 days,False,normal
Logistik Süd GmbH,LOG-1006,2026-03-14,2026-04-13,4468.91,849.09,5318.01,EUR,PO-7286,DE44500105175407324931,30 days,False,normal
CloudWorks Ltd,CLO-1003,2026-03-14,2026-04-13,3542.71,708.54,4251.25,GBP,PO-6757,GB29NWBK60161331926819,30 days,False,normal
Nordic Office Oy,NOR-1005,2026-03-19,2026-04-18,2314.61,555.51,2870.12,EUR,PO-7716,FI2112345600000785,30 days,False,normal
TechParts AG,TEC-1007,2026-03-25,2026-04-24,8324.82,1581.72,9906.53,EUR,PO-7113,DE12500105170648489890,30 days,False,normal
